OBJECTID,PROJECT_ID,FISCAL_YEAR,CONSTRUCTION_YEAR,CONCEPT_CODE,CONCEPT_DESCRIPTION,WORK_CONCEPT,SUB_PROGRAM_CODE,SUB_PROGRAM_DESCRIPTION,ROUTE_TYPE,ROUTE_NAME,ROUTE,COUNTY,TITLE,LIMITS,MILES,REGION,CONSTRUCTION_COST_RANGE_WD,LAST_REFRESH_DATE,WORK_DESCRIPTION,ASSEMBLY_DISTRICT_NUMBERS,CONGRESSIONAL_DISTRICT_NUMBERS,SENATE_DISTRICT_NUMBERS
201743,11900189,2026 - 2027,2025 - 2026,BRPVTV,BRIDGE PREVENTIVE,CONSTRUCTION/THIN POLYMER OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,US,053,US 053,EAU CLAIRE                    ,EAU CLAIRE - CHIPPEWA FALLS,"THIN POLYMER OVERLAY, VAR HWYS",0.048,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Thin polymer deck overlay on six bridges in Eau Claire and Dunn counties on USH 53.,68,3,23
201744,15400276,2026 - 2027,2027,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACING/RSRF20,303,STATE HIGHWAY REHABILITATION                                               ,WIS,065,WIS 065,ST. CROIX                     ,RIVER FALLS - NEW RICHMOND,IH 94 TO USH 12 WEST,2.119,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",30,7,10
201745,69991087,2026 - 2027,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,BUS,051,BUS 051,MARATHON                      ,ROTHSCHILD - SCHOFIELD,E GRAND AVE TO EAU CLAIRE RVR BRDGE,0.58,NC,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Complete a pavement replacemet of the existing pavement and study intersection for safety improvements.,85,7,29
201747,58451672,2025,2025 - 2026,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,302,MAJOR HIGHWAY DEVELOPMENT                                                  ,US,051,US 051,DANE                          ,STOUGHTON - MADISON,SPRING RD TO FIFTH ST,1.36,SW,"$14,000,000 - $14,999,999",2021/07/24 08:34:36+00,Existing roadway reconstruction with improvements to safety without expansion.,46,2,16
201774,12101771,2024,2024,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/RSRF30,303,STATE HIGHWAY REHABILITATION                                               ,WIS,172,WIS 172,BROWN                         ,ONEIDA - GREEN BAY,STH 54 - AIRPORT ENTRANCE,2.64,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Resurface the existing asphaltic pavement.,"4,5",8,2
201776,91401261,2022,2022,PSRS20,PATCH/RUT FILL/REPAIR AND GRIND/SLAB REPLACE,CONST/PSRS20,303,STATE HIGHWAY REHABILITATION                                               ,WIS,064,WIS 064,LANGLADE                      ,ANTIGO - LANGLADE,STH 64 CULVERT REPLACEMENTS,0.039,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Replace culvert at Elton Creek on STH 64 in Langlade County.,"36,35",7,12
201777,49100270,2025,2025 - 2026,MISC  ,MISCELLANEOUS,CONST/CULVERT REPLACE C-64-0038,303,STATE HIGHWAY REHABILITATION                                               ,WIS,011,WIS 011,WALWORTH                      ,ELKHORN-BURLINGTON,BAKER CREEK 0.8 MI NE OF USH 12,0.007,SE,"$250,000 - $499,999",2021/07/24 08:34:36+00,"STH 11, SUGAR CREEK 0.7 MI E IH43",32,1,11
201778,71250070,2025,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONSTRUCTION/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,WIS,037,WIS 037,BUFFALO                       ,ALMA - MONDOVI,STH 88 TO USH 10,3.47,NW,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,"This project consists of removing and replacing the existing pavement, widen and pave shoulder and add rumble strips, along with all incidentals necessary.",92,3,31
201779,79950263,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONSTRUCTION/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,F  ,County F  ,EAU CLAIRE                    ,"C EAU CLAIRE, STATE ST/CTH F       ",HEATHER ROAD TO HAMILTON AVE       ,0.66,NW,"$750,000 - $999,999",2021/07/24 08:34:36+00,Reconstruct State St/CTH F from Heather Road to Hamilton Ave.,"91,93",3,31
201780,57420072,2025,2025 - 2026,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,DANE                          ,"T OF RUTLAND, LAKE KEGONSA ROAD    ","BADFISH CREEK BRIDGE, B-13-0885",0,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Local Bridge Replacement Project,43,2,15
201781,59890373,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,US,051,US 051,ROCK                          ,"SOUTHWEST REGION, ADA CURB RAMPS",CITY OF BELOIT VARIOUS LOCATIONS,2.509,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,To Be Determined,45,2,15
201782,50900572,2024,2024,PVRPLA,PAVEMENT REPLACEMENT,CONST/SANITARY SEWER/WATER MAIN,303,STATE HIGHWAY REHABILITATION                                               ,WIS,033,WIS 033,SAUK                          ,"C BARABOO, EIGHTH STREET",W CITY LIMIT TO LINCOLN AVENUE,1.9,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Reconstruct,81,2,27
201783,50800275,2024,2024,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/SANITARY SEWER & WATER MAIN,303,STATE HIGHWAY REHABILITATION                                               ,WIS,023,WIS 023,SAUK                          ,SPRING GREEN - REEDSBURG,USH 14 TO CTH GG,1.06,SW,"$100,000 - $249,999",2021/07/24 08:34:36+00,Resurfacing equal to or greater than 4 inches,51,2,17
201784,71500171,2022,2022,BRRHB ,BRIDGE REHABILITATION,CONSTR/BRIDGE REHABLITATION,303,STATE HIGHWAY REHABILITATION                                               ,WIS,054,WIS 054,TREMPEALEAU                   ,WINONA - GALESVILLE,BEAVER CREEK BRIDGE B-61-0048,0.094,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"This project consists of a bridge rehabilitation, re-decking the B-61-0048 bridge, along with all incidentals necessary.",92,3,31
201785,50300172,2023,2023,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,033,WIS 033,SAUK                          ,HILLSBORO - REEDSBURG,V WONEWOC S LIMITS TO MAIN STREET,7.181,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,Replace guard rail end terminals,50,"2,3",17
201786,36700172,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/ WATER MAIN & SANITARY SEWER,303,STATE HIGHWAY REHABILITATION                                               ,WIS,089,WIS 089,COLUMBIA                      ,"C COLUMBUS, FARNHAM STREET",0.32MI S OF AVALON RD TO PARK AVE,1.18,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"Reconstruct roadway, converting rural section to urban section.  Extend connecting limits after reconstruction to new city limits.",37,6,13
201787,69991877,2022,2022,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/RESURFACE,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,MARATHON                      ,"C WAUSAU, NORTH 6TH STREET         ",HORSESHOE SPRING RD TO EVERGREEN RD,1.18,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,,85,7,29
201788,15171471,2024,2024,MISC  ,MISCELLANEOUS,CONST/MISC NOISE WALL N700009,303,STATE HIGHWAY REHABILITATION                                               ,US,010,US 010,WINNEBAGO                     ,"V FOX CROSSING, USH 10",COLD SPRING RD N-70-0009,0.051,NE,"$100,000 - $249,999",2021/07/24 08:34:36+00,Replacement of noise wall located on US 10 EB over Cold Spring Road.,55,6,19
201789,15007571,2026 - 2027,2025 - 2026,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST RSRF,303,STATE HIGHWAY REHABILITATION                                               ,US,010,US 010,MANITOWOC                     ,"MAIN STREET, V. OF REEDSVILLE",CTH W - PLEASANT VIEW RD,1.131,NE,"$750,000 - $999,999",2021/07/24 08:34:36+00,Resurface the existing pavement in Reedsville.,25,6,9
201790,11700165,2022,2022,BRPVTV,BRIDGE PREVENTIVE,CONST/BRIDGE PREVENTIVE,303,STATE HIGHWAY REHABILITATION                                               ,US,051,US 051,MARATHON                      ,WAUSAU - MERRILL,US 51 BRIDGE POLYMER OVERLAYS,0,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Construct thin polymer overlay on seven bridges along US 51.,"86,85",7,29
201791,72440070,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,Z  ,County Z  ,JACKSON                       ,STH 54 - NORTH COUNTY LINE         ,HAY CREEK BRIDGE B-27-0176,0.029,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge over Hay Creek with new bridge.,70,7,24
201794,71400070,2023,2023,COLD20,PARTIAL DEPTH CIR WITH > 2.5 INCH CAP,CONSTRUCTION/CIR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,035,WIS 035,TREMPEALEAU                   ,LA CROSSE - TREMPEALEAU,LA CROSSE/TREMP CO LN TO 10TH ST,6.14,NW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"This project consists of CIR and overlaying the existing pavement, along with all incidentals necessary.",92,3,31
201795,59890024,2024,2024,RCND20,RECONDITION (IMPROVE CURVE/GRADE/SIGHT/INTERSECT),CONST OPS/RECONDITION,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,ROCK                          ,"C OF BELOIT, HENRY AVE/SHOPIERE RD ",ROYCE AVENUE TO PRAIRIE AVENUE     ,0.42,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Reconditioning Project,"31,45",2,"11,15"
201796,75750773,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/PATCH AND OVERLAY/RECST,303,STATE HIGHWAY REHABILITATION                                               ,WIS,016,WIS 016,LA CROSSE                     ,"C LA CROSSE, LA CROSSE STREET",OAKLAND ST TO LOSEY BLVD,0.91,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"Reconstruct existing roadway, adding additional lane if traffic volumes warrant",95,3,32
201797,14703071,2024,2024,COLD10,PARTIAL DEPTH CIR WITH <= 2.5 INCH CAP,CONST/RESURF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,042,WIS 042,MANITOWOC                     ,TWO RIVERS-KEWAUNEE,34TH STREET-NCL,11.57,NE,"$8,000,000 - $8,999,999",2021/07/24 08:34:36+00,TWO RIVERS-KEWAUNEE MILL/OVERLAY,"1,2",6,1
201798,67670171,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,B  ,County B  ,PORTAGE                       ,"V PLOVER, CTH B                    ",WISCONSIN AVENUE TO HOOVER AVENUE  ,0.68,NC,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,,71,3,24
201799,16104463,2022,2022,BRRHB ,BRIDGE REHABILITATION,CONST/PREV MAINT APPRVL 11/3/2016,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,PRICE                         ,"C PHILLIPS, LAKE STREET",ELK RIVER BRIDGE B-50-0019,0,NC,"$250,000 - $499,999",2021/07/24 08:34:36+00,Overlay existing bridge deck with concrete and add railings and make minor repairs as needed.,74,7,25
201802,15600073,2026 - 2027,2025 - 2026,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,303,STATE HIGHWAY REHABILITATION                                               ,US,063,US 063,WASHBURN                      ,SPOONER - HAYWARD,NAMEKAGON RIVER BRIDGE B-65-0061,0.028,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,"The proposed improvement includes replacement of rails, wings, concrete
overlay, and all incidentals necessary.",73,7,25
201803,26560072,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,MILWAUKEE                     ,C MILWAUKEE S 70TH STREET,BRIDGE OVER CP RR/HAST P-40-856,0,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,S 70TH ST BRIDGE OVER CPRR/HAST (P400856) BRIDGE REPLACEMENT,13,4,5
201804,35880060,2024,2024,MISC  ,MISCELLANEOUS,CONST/MISC/RUMBLE/SIGN/MARK,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,G  ,County G  ,JEFFERSON                     ,LAKE MILLS - STH 19,STH 89 TO STH 19,5.75,SW,"$500,000 - $749,999",2021/07/24 08:34:36+00,Improve corridor safety through specific countermeasures at specific locations as identified in the Corridor Safety Evaluation Summary.,38,5,13
201805,78620070,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,CHIPPEWA                      ,"T SIGEL, 240TH STREET",PAINT CREEK BRIDGE B-09-0393,0.01,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge with new bridge.,68,3,23
201806,16011475,2022,2022,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,US,045,US 045,VILAS                         ,EAGLE RIVER - LAND O LAKES,CTH K WEST TO MICHIGAN STATE LINE,8.34,NC,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Remove top layer of pavement and apply a new surface.,34,7,12
201807,69991085,2026 - 2027,2025 - 2026,PVRPLA,PAVEMENT REPLACEMENT,CONST/PAVEMENT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,BUS,051,BUS 051,MARATHON                      ,ROTHSCHILD - SCHOFIELD,EVEREST DRIVE TO SCHOFIELD AVENUE,1.25,NC,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,Complete a pavement replacemet of the existing pavement and study intersection for safety improvements.,"85,86",7,29
201808,43750671,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL P-31-0042,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,KEWAUNEE                      ,"T AHNAPEE, WILLOW DRIVE",SILVER CREEK BRIDGE                ,0,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace bridge P31-0042.,1,8,1
201809,49850062,2025,2025 - 2026,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECST,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,LOC,STR,LOC STR,BROWN                         ,"C DEPERE, LAWRENCE DRIVE           ",FORTUNE AVENUE TO SCHEURING ROAD   ,0.479,NE,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"2020-2025 Local STP Urban program, reconstruction of Lawrence Drive; limits from Fortune Ave. to Scheuring Road.",2,8,1
201810,57500670,2025,2025 - 2026,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST/MILL & O'LAY/B-52-60/RSRF,303,STATE HIGHWAY REHABILITATION                                               ,WIS,058,WIS 058,RICHLAND                      ,USH 14 - LAVALLE,0.7MI N OF CTH N TO LEE LAKE BRIDGE,13.766,SW,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,Mill and Overlay Resurfacing.,"50,51","2,3",17
201811,16200277,2024,2024,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,080,WIS 080,WOOD                          ,C OF PITTSVILLE,POPLAR ST TO STH 73,1.617,NC,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Replace existing deteriorated pavement with new pavement.,70,7,24
201812,16002971,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,US,045,US 045,ONEIDA                        ,MONICO - EAGLE RIVER,USH 8 TO STH 32,16.45,NC,"$5,000,000 - $5,999,999",2021/07/24 08:34:36+00,To Be Determined,34,7,12
201813,55720072,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,KP ,County KP ,DANE                          ,STH 78 - USH 14                    ,"BLACK EARTH CREEK, B-13-0883",0,SW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Local Bridge Replacement Project,79,2,27
201816,75600574,2024,2024,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONSTRUCTION/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,095,WIS 095,JACKSON                       ,BLAIR - MERRILLAN,TREMPEALEAU/JACKSON CO LN TO IH 94,10.07,NW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,"This project consists of milling and overlaying the existing pavement, along with all incidentals necessary.",92,3,31
201817,13800270,2023,2023,RSRF30,RESURFACING (OVERLAY >= 4 INCHES),CONST / RESURFACING,303,STATE HIGHWAY REHABILITATION                                               ,WIS,167,WIS 167,OZAUKEE                       ,"MEQUON ROAD, CITY OF MEQUON",WASHINGTON CO LINE TO BUNTROCK AVE,3.74,SE,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"MEQUON RD, CITY OF MEQUON, WASHINGTON CO LINE TO BUNTROCK AVE (STH 167) RESURFACING","23,24",6,8
201818,38210171,2022,2021,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL B-20-0244,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,FOND DU LAC                   ,"T ELDORADO, TOWN LINE ROAD         ",VAN DYNE CREEK BRIDGE              ,0.025,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,Bridge replacement on Town Line Road.,53,6,18
201819,70700672,2023,2023,COLD20,PARTIAL DEPTH CIR WITH > 2.5 INCH CAP,CONSTRUCTION/CIR/RESURFACE,303,STATE HIGHWAY REHABILITATION                                               ,WIS,027,WIS 027,CHIPPEWA                      ,AUGUSTA - CADOTT,EAU CLAIRE/CHIPPEWA CO LN TO STH 29,5.52,NW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"This project consists of CIR and overlaying the existing pavement, adding concrete overlay to existing B-09-0026, along with all incidentals necessary.","68,67",3,23
201820,16500077,2023,2023,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/INTERSECTION IMPROVEM/RECST,303,STATE HIGHWAY REHABILITATION                                               ,US,061,US 061,GRANT                         ,DICKEYVILLE - LANCASTER,SOUTH JUNCTION STH 81,0.416,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Mill & overlay existing asphalt pavement and improve intersections for safety.,49,3,17
201824,41990271,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,W  ,County W  ,SHEBOYGAN                     ,"T LIMA, CTH W                      ",TRIBUTARY TO ONION RIVER BRIDGE    ,0.126,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,"2020-2025 Local Bridge Program, replace structure P590921 in the Town of Lima located on CTH W, Onion River Bridge.",26,6,9
201826,87580072,2024,2024,RECST ,"RECONSTRUCTION, PRESERVATION",CONSTRUCTION/RECONSTRUCT,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,C  ,County C  ,DOUGLAS                       ,MN STATE LINE - STH 35             ,MN STATE LINE TO BARNES ROAD       ,3.58,NW,"$4,000,000 - $4,999,999",2021/07/24 08:34:36+00,Reconstruct CTH C from the state line to CTH W/Barnes Road with 12' lanes and 3' gravel shoulders. The intersection with CTH W will be realigned to have CTH C be the thru traffic.,73,7,25
201827,90320271,2022,2022,RCND10,RECONDITION (INTERSECTION/WIDEN/SHOULDER),CONST/RCND10,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,I  ,County I  ,OCONTO                        ,"T STILES, CTH I                    ",HUSKY LANE - FULLER LANE           ,2.57,NE,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,Recondition existing roadway.,89,8,30
201830,56770078,2024,2024,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,N  ,County N  ,SAUK                          ,CTH G - STH 23                     ,"SUGAR GROVE CREEK, B-56-0241",0,SW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Local Bridge Replacement Project,51,2,17
201831,85100172,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,013,WIS 013,BAYFIELD                      ,PORT WING - SUPERIOR,CTH A TO DOUGLAS BAYFIELD CO LN,8.14,NW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,To Be Determined,74,7,25
201832,75500077,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,054,WIS 054,JACKSON                       ,MELROSE - BLACK RIVER FALLS,"ROARING CK B27-76,DOUGLAS CK B27-16",0.027,NW,"$1,000,000 - $1,999,999",2021/07/24 08:34:36+00,To Be Determined,92,3,31
201833,72340070,2022,2022,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRRPL,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,LOC,STR,LOC STR,BUFFALO                       ,"T MODENA, HANSON BLUFF ROAD        ",LEE VALLEY CREEK BRIDGE B-06-0184,0.004,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge.,92,3,31
201834,16400472,2023,2023,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/INTERSECT IMPROVE-RAB/RECST,303,STATE HIGHWAY REHABILITATION                                               ,US,014,US 014,VERNON                        ,WESTBY - READSTOWN,EAST JUNCTION STH 27,0.689,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,"Improve intersection safety; consider installing a RAB.",96,3,32
201835,40753972,2022,2022,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/RESURF RW-NO,303,STATE HIGHWAY REHABILITATION                                               ,WIS,096,WIS 096,BROWN                         ,WRIGHTSTOWN-DENMARK,CTH G - IH 43,4.94,NE,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,WRIGHTSTOWN-DENMARK MILL AND OVERLAY,"88,2",8,"30,1"
201836,15500675,2023,2023,MISC  ,MISCELLANEOUS,CONSTR/MISC/CULVERT REPLACEMENT,303,STATE HIGHWAY REHABILITATION                                               ,US,063,US 063,POLK                          ,BALDWIN - CLEAR LAKE,PEDESTRIAN TRAIL C-48-0025,0.003,NW,"$500,000 - $749,999",2021/07/24 08:34:36+00,This project consists of replacing the existing C-48-0025 culvert and all incidentals necessary.,75,7,25
201837,16400063,2026 - 2027,2025 - 2026,RSRF20,RESURFACING (OVERLAY >= 2.5 INCHES AND < 4 INCHES),CONST/ MILL AND OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,US,014,US 014,IOWA                          ,SPRING GREEN - MADISON,WISCONSIN RIVER TO OAK STREET,6.566,SW,"$2,000,000 - $2,999,999",2021/07/24 08:34:36+00,Resurfacing Project - Overlay less than 2.5 inches,"81,51",2,"17,27"
201838,36700171,2022,2022,RECST ,"RECONSTRUCTION, PRESERVATION",CONST/RECONSTRUCT ROADWAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,089,WIS 089,COLUMBIA                      ,"C COLUMBUS, FARNHAM STREET",0.32MI S OF AVALON RD TO PARK AVE,1.18,SW,"$3,000,000 - $3,999,999",2021/07/24 08:34:36+00,"Reconstruct roadway, converting rural section to urban section.  Extend connecting limits after reconstruction to new city limits.",37,6,13
201839,40753571,2024,2024,RSRF10,RESURFACING (OVERLAY < 2.5 INCHES),CONST/RESURF MILL/OVERLAY,303,STATE HIGHWAY REHABILITATION                                               ,WIS,096,WIS 096,OUTAGAMIE                     ,KAUKAUNA-WRIGHTSTOWN,CLARIBEL STREET-CTH JJ,1.86,NE,"$750,000 - $999,999",2021/07/24 08:34:36+00,"KAUKAUNA-WRIGHTSTOWN, MILL/OVERLAY",5,8,2
201841,83970070,2023,2023,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONSTRUCTION/BRIDGE REPLACEMENT,205,HIGHWAY AND LOCAL BRIDGE IMPROVEMENT ASSISTANCE                            ,County,K  ,County K  ,POLK                          ,CTH M - CTH PP                     ,WAPOGASSET BRANCH BRIDGE B-48-0057,0.01,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace existing deteriorated bridge with new bridge.,28,7,10
201843,89230970,2022,2022,MISC  ,MISCELLANEOUS,CONSTR/HRRR/SAFETY TREATMENTS,206,LOCAL TRANSPORTATION FACILITY IMPROVEMENT ASSISTANCE                       ,County,BB ,County BB ,DUNN                          ,USH 12 - CEDAR FALLS,USH 12 TO STH 25,1.97,NW,"$250,000 - $499,999",2021/07/24 08:34:36+00,"Installation of centerline rumble strips, grooved epoxy edgeline markings, shoulder paving in curve areas, vegetation removal along with installation and upgrading to signing.",29,3,10
201844,40102871,2026 - 2027,2027,BRRPL ,"BRIDGE REPLACEMENT, PRESERVATION",CONST OPS/BRRPL B590322,303,STATE HIGHWAY REHABILITATION                                               ,WIS,028,WIS 028,SHEBOYGAN                     ,WALDO - SHEBOYGAN FALLS,ONION RIVER TRIBUTARY,0.422,NE,"$250,000 - $499,999",2021/07/24 08:34:36+00,Replace the onion river tributary box culvert on STH 28 in Sheboygan County.,26,6,9
201845,20602070,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,038,WIS 038,MILWAUKEE                     ,HOWELL AVE,OAKWOOD RD TO GRANGE AVE,6.368,SE,"$9,000,000 - $9,999,999",2021/07/24 08:34:36+00,To Be Determined,"21,20","1,4",7
201846,55710174,2026 - 2027,2027,TBD,To Be Determined,To Be Determined,303,STATE HIGHWAY REHABILITATION                                               ,WIS,213,WIS 213,ROCK                          ,BELOIT - EVANSVILLE,STH 11 TO STH 59,8.08,SW,"$7,000,000 - $7,999,999",2021/07/24 08:34:36+00,To Be Determined,45,2,15
